/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[1/406 новая статья 1/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-poglosheniya-vibracii-avt.html
[2/406 новая статья 2/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-kontrolya-krutyashego-momenta-adt.html
[3/406 новая статья 3/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-kontroliruyushaya-oboroty-dvigatelya-pod-raznoj-nagruzkoj-soft-no-load.html
[4/406 новая статья 4/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-aktivnoj-zashity-ot-ryvkov-aft.html
[5/406 новая статья 5/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-zashity-ot-pyli-i-vlagi-xpt.html
[6/406 новая статья 6/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-besshetochnogo-elektrodvigatelya-bl-motor.html
[7/406 новая статья 7/406] https://www.kuvalda.ru/blog/articles/polz/tehnologiya-besprovodnogo-avtozapuska-pylesosa-aws-tm.html
[8/406 новая статья 8/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-dzhileks-cirkul-premium-.html
[9/406 новая статья 9/406] https://www.kuvalda.ru/blog/articles/newinstr/fubag-fla-4240-sm-samaya-dostupnaya-samohodnaya-akkumulyatornaya-kosilka.html
[10/406 новая статья 10/406] https://www.kuvalda.ru/blog/articles/raznoe/Kak-svarshchik-pokoril-ostrov-milliarderov.html
[11/406 новая статья 11/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita-holodilnik-s-funkciej-podogreva-dcw180.html
[12/406 новая статья 12/406] https://www.kuvalda.ru/blog/articles/polz/istoriya-metabo-100-let-razvitiya.html
[13/406 новая статья 13/406] https://www.kuvalda.ru/blog/articles/newinstr/test-akkumulyatornyh-gazonokosilok-greenworks-2022-goda.html
[14/406 новая статья 14/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-a-ipower-benzinovyj-generator-lite-ap2200.html
[15/406 новая статья 15/406] https://www.kuvalda.ru/blog/articles/polz/kak-rabotaet-kosilka-robot.html
